Grupo	Seleccion	Dorsal	Foto	Nombre	Posicion	Edad	Club	Valoracion
B	Gales	5	Chris Mepham	Chris Mepham	Centre-Back	25	AFC Bournemouth	€6.00m
B	Gales	17	Tom Lockyer	Tom Lockyer	Centre-Back	27	Luton Town	€2.00m
B	Gales	4	Ben Davies	Ben Davies	Left-Back	29	Tottenham Hotspur	€20.00m
B	Gales	3	Neco Williams	Neco Williams	Right-Back	21	Nottingham Forest	€18.00m
B	Gales	14	Connor Roberts	Connor Roberts	Right-Back	27	Burnley FC	€6.00m
B	Gales	2	Chris Gunter	Chris Gunter	Right-Back	33	AFC Wimbledon	€300k
B	Gales	26	Matt Smith	Matt Smith	Defensive Midfield	22	Milton Keynes Dons	€600k
B	Gales	10	Aaron Ramsey	Aaron Ramsey	Central Midfield	31	OGC Nice	€3.00m
B	Gales	7	Joe Allen	Joe Allen	Central Midfield	32	Swansea City	€1.00m
B	Gales	23	Dylan Levitt	Dylan Levitt	Central Midfield	22	Dundee United FC	€850k
B	Gales	16	Joe Morrell	Joe Morrell	Central Midfield	25	Portsmouth FC	€500k
B	Gales	25	Rubin Colwill	Rubin Colwill	Attacking Midfield	20	Cardiff City	€1.50m
B	Gales	18	Jonathan Williams	Jonathan Williams	Attacking Midfield	29	Swindon Town	€400k
B	Gales	8	Harry Wilson	Harry Wilson	Right Winger	25	Fulham FC	€17.00m
B	Gales	20	Daniel James	Daniel James	Right Winger	25	Fulham FC	€16.00m
B	Gales	22	Sorba Thomas	Sorba Thomas	Right Winger	23	Huddersfield Town	€5.00m
B	Gales	11	Gareth Bale	Gareth Bale	Right Winger	33	Los Angeles FC	€2.00m
B	Gales	9	Brennan Johnson	Brennan Johnson	Second Striker	21	Nottingham Forest	€20.00m
B	Gales	13	Kieffer Moore	Kieffer Moore	Centre-Forward	30	AFC Bournemouth	€4.00m
B	Gales	19	Mark Harris	Mark Harris	Centre-Forward	23	Cardiff City	€1.00m
C	Argentina	23	Emiliano Martínez	Emiliano Martínez	Goalkeeper	30	Aston Villa	€25.00m
C	Argentina	12	Gerónimo Rulli	Gerónimo Rulli	Goalkeeper	30	Villarreal CF	€10.00m
C	Argentina	1	Franco Armani	Franco Armani	Goalkeeper	36	CA River Plate	€3.20m
C	Argentina	13	Cristian Romero	Cristian Romero	Centre-Back	24	Tottenham Hotspur	€55.00m
C	Argentina	25	Lisandro Martínez	Lisandro Martínez	Centre-Back	24	Manchester United	€50.00m
C	Argentina	6	Germán Pezzella	Germán Pezzella	Centre-Back	31	Real Betis Balompié	€5.00m
C	Argentina	19	Nicolás Otamendi	Nicolás Otamendi	Centre-Back	34	SL Benfica	€3.00m
C	Argentina	8	Marcos Acuña	Marcos Acuña	Left-Back	31	Sevilla FC	€14.00m
C	Argentina	3	Nicolás Tagliafico	Nicolás Tagliafico	Left-Back	30	Olympique Lyon	€9.00m
C	Argentina	2	Juan Foyth	Juan Foyth	Right-Back	24	Villarreal CF	€25.00m
C	Argentina	26	Nahuel Molina	Nahuel Molina	Right-Back	24	Atlético de Madrid	€18.00m
C	Argentina	4	Gonzalo Montiel	Gonzalo Montiel	Right-Back	25	Sevilla FC	€12.00m
C	Argentina	18	Guido Rodríguez	Guido Rodríguez	Defensive Midfield	28	Real Betis Balompié	€28.00m
C	Argentina	5	Leandro Paredes	Leandro Paredes	Defensive Midfield	28	Juventus FC	€15.00m
C	Argentina	7	Rodrigo de Paul	Rodrigo de Paul	Central Midfield	28	Atlético de Madrid	€35.00m
C	Argentina	24	Enzo Fernández	Enzo Fernández	Central Midfield	21	SL Benfica	€35.00m
C	Argentina	20	Alexis Mac Allister	Alexis Mac Allister	Central Midfield	23	Brighton & Hove Albion	€32.00m
C	Argentina	14	Exequiel Palacios	Exequiel Palacios	Central Midfield	24	Bayer 04 Leverkusen	€15.00m
C	Argentina	16	Thiago Almada	Thiago Almada	Attacking Midfield	21	Atlanta United FC	€15.00m
C	Argentina	15	Papu Gómez	Papu Gómez	Left Winger	34	Sevilla FC	€4.00m
C	Argentina	10	Lionel Messi	Lionel Messi	Right Winger	35	Paris Saint-Germain	€50.00m
C	Argentina	16	Ángel Correa	Ángel Correa	Right Winger	27	Atlético de Madrid	€40.00m
C	Argentina	11	Ángel Di María	Ángel Di María	Right Winger	34	Juventus FC	€10.00m
C	Argentina	21	Paulo Dybala	Paulo Dybala	Second Striker	29	AS Roma	€30.00m
C	Argentina	22	Lautaro Martínez	Lautaro Martínez	Centre-Forward	25	Inter Milan	€75.00m
C	Argentina	9	Julián Álvarez	Julián Álvarez	Centre-Forward	22	Manchester City	€32.00m
C	Arabia Saudita	21	Mohammed Al-Owais	Mohammed Al-Owais	Goalkeeper	31	Al-Hilal Saudi FC	€700k
C	Arabia Saudita	1	Mohammed Al-Yami	Mohammed Al-Yami	Goalkeeper	25	Al-Ahli Saudi FC	€600k
C	Arabia Saudita	22	Nawaf Al-Aqidi	Nawaf Al-Aqidi	Goalkeeper	22	Al-Nassr FC	€200k
C	Arabia Saudita	4	Abdulelah Al-Amri	Abdulelah Al-Amri	Centre-Back	25	Al-Nassr FC	€1.20m
C	Arabia Saudita	17	Hassan Tambakti	Hassan Tambakti	Centre-Back	23	Al-Shabab Club (Riyadh)	€1.00m
C	Arabia Saudita	3	Abdullah Madu	Abdullah Madu	Centre-Back	29	Al-Nassr FC	€900k
C	Arabia Saudita	5	Ali Al-Bulayhi	Ali Al-Bulayhi	Centre-Back	32	Al-Hilal Saudi FC	€400k
C	Arabia Saudita	13	Yasser Al-Shahrani	Yasser Al-Shahrani	Left-Back	30	Al-Hilal Saudi FC	€1.50m
C	Arabia Saudita	24	Nasser Al-Dawsari	Nasser Al-Dawsari	Left-Back	23	Al-Hilal Saudi FC	€700k
C	Arabia Saudita	2	Sultan Al-Ghannam	Sultan Al-Ghannam	Right-Back	28	Al-Nassr FC	€2.50m
C	Arabia Saudita	12	Saud Abdulhamid	Saud Abdulhamid	Right-Back	23	Al-Hilal Saudi FC	€1.70m
C	Arabia Saudita	6	Mohammed Al-Burayk	Mohammed Al-Burayk	Right-Back	30	Al-Hilal Saudi FC	€1.20m
C	Arabia Saudita	15	Ali Al-Hassan	Ali Al-Hassan	Defensive Midfield	25	Al-Nassr FC	€500k
C	Arabia Saudita	26	Riad Sharahili	Riad Sharahili	Defensive Midfield	29	Abha Club	€400k
C	Arabia Saudita	14	Abdullah Otayf	Abdullah Otayf	Defensive Midfield	30	Al-Hilal Saudi FC	€300k
C	Arabia Saudita	23	Mohamed Kanno	Mohamed Kanno	Central Midfield	28	Al-Hilal Saudi FC	€1.20m
C	Arabia Saudita	8	Abdulelah Al-Malki	Abdulelah Al-Malki	Central Midfield	28	Al-Hilal Saudi FC	€800k
C	Arabia Saudita	7	Salman Al-Faraj	Salman Al-Faraj	Central Midfield	33	Al-Hilal Saudi FC	€500k
C	Arabia Saudita	16	Sami Al-Najei	Sami Al-Najei	Attacking Midfield	25	Al-Nassr FC	€1.50m
C	Arabia Saudita	18	Nawaf Al-Abed	Nawaf Al-Abed	Attacking Midfield	32	Al-Shabab Club (Riyadh)	€300k
C	Arabia Saudita	10	Salem Al-Dawsari	Salem Al-Dawsari	Left Winger	31	Al-Hilal Saudi FC	€1.80m
C	Arabia Saudita	20	Abdulrahman Al-Oboud	Abdulrahman Al-Oboud	Right Winger	27	Al-Ittihad Club (Jeddah)	€1.50m
